CPU Name,CPU Mark(higher is better),Rank(lower is better),CPU Value(higher is better),Price(USD),CPU Link
AArch64,833,4139,NA,NA,cpu_lookup.php?cpu=AArch64&id=5934
AArch64 rev 2 (aarch64),"2,409",2919,NA,NA,cpu_lookup.php?cpu=AArch64+rev+2+%28aarch64%29&id=4017
AArch64 rev 4 (aarch64),"1,813",3291,NA,NA,cpu_lookup.php?cpu=AArch64+rev+4+%28aarch64%29&id=3916
AC8257V/WAB,788,4190,NA,NA,cpu_lookup.php?cpu=AC8257V%2FWAB&id=3980
AC8259V/WAB,910,4047,NA,NA,cpu_lookup.php?cpu=AC8259V%2FWAB&id=5947
Allwinner A133,668,4339,NA,NA,cpu_lookup.php?cpu=Allwinner+A133&id=5410
Allwinner A523,"1,928",3207,NA,NA,cpu_lookup.php?cpu=Allwinner+A523&id=5651
Allwinner A527,"2,297",2980,NA,NA,cpu_lookup.php?cpu=Allwinner+A527&id=5591
Allwinner A733,"3,392",2444,NA,NA,cpu_lookup.php?cpu=Allwinner+A733&id=6545
Allwinner H618,623,4393,NA,NA,cpu_lookup.php?cpu=Allwinner+H618&id=5549
Allwinner h728,"1,940",3201,NA,NA,cpu_lookup.php?cpu=Allwinner+h728&id=6316
AMD 3015Ce,"2,099",3102,NA,NA,cpu_lookup.php?cpu=AMD+3015Ce&id=4455
AMD 3015e,"2,652",2775,NA,NA,cpu_lookup.php?cpu=AMD+3015e&id=3774
AMD 3020e,"2,414",2913,NA,NA,cpu_lookup.php?cpu=AMD+3020e&id=3758
AMD 4700S,"17,734",857,NA,NA,cpu_lookup.php?cpu=AMD+4700S&id=4309
AMD A10 Micro-6700T APU,"1,426",3564,NA,NA,cpu_lookup.php?cpu=AMD+A10+Micro-6700T+APU&id=2520
AMD A10 PRO-7350B APU,"1,867",3251,NA,NA,cpu_lookup.php?cpu=AMD+A10+PRO-7350B+APU&id=2271
AMD A10 PRO-7800B APU,"3,311",2482,NA,NA,cpu_lookup.php?cpu=AMD+A10+PRO-7800B+APU&id=2407
AMD A10 PRO-7850B APU,"3,441",2419,23.25,$148.02*,cpu_lookup.php?cpu=AMD+A10+PRO-7850B+APU&id=2416
AMD A10-4600M APU,"1,939",3202,26.92,$72.02*,cpu_lookup.php?cpu=AMD+A10-4600M+APU&id=10
AMD A10-4655M APU,"1,651",3401,NA,NA,cpu_lookup.php?cpu=AMD+A10-4655M+APU&id=11
AMD A10-4657M APU,"1,759",3334,NA,NA,cpu_lookup.php?cpu=AMD+A10-4657M+APU&id=1906
AMD A10-5700 APU,"2,737",2730,40.23,$68.02,cpu_lookup.php?cpu=AMD+A10-5700+APU&id=12
AMD A10-5745M APU,"1,779",3323,NA,NA,cpu_lookup.php?cpu=AMD+A10-5745M+APU&id=1962
AMD A10-5750M APU,"2,044",3134,26.20,$78.02,cpu_lookup.php?cpu=AMD+A10-5750M+APU&id=1920
AMD A10-5757M APU,"1,996",3171,NA,NA,cpu_lookup.php?cpu=AMD+A10-5757M+APU&id=1992
AMD A10-5800B APU,"3,049",2595,67.77,$44.99*,cpu_lookup.php?cpu=AMD+A10-5800B+APU&id=1990
AMD A10-5800K APU,"2,954",2640,37.87,$78.02*,cpu_lookup.php?cpu=AMD+A10-5800K+APU&id=1446
AMD A10-6700 APU,"3,113",2569,31.76,$98.02*,cpu_lookup.php?cpu=AMD+A10-6700+APU&id=1936
AMD A10-6700T APU,"2,299",2978,26.12,$88.02*,cpu_lookup.php?cpu=AMD+A10-6700T+APU&id=2254
AMD A10-6790K APU,"3,108",2574,74.01,$42.00*,cpu_lookup.php?cpu=AMD+A10-6790K+APU&id=2117
AMD A10-6800B APU,"3,155",2551,24.64,$128.02*,cpu_lookup.php?cpu=AMD+A10-6800B+APU&id=2155
AMD A10-6800K APU,"3,187",2540,29.50,$108.02,cpu_lookup.php?cpu=AMD+A10-6800K+APU&id=1935
AMD A10-7300 APU,"1,745",3339,NA,NA,cpu_lookup.php?cpu=AMD+A10-7300+APU&id=2287
AMD A10-7400P,"2,100",3101,NA,NA,cpu_lookup.php?cpu=AMD+A10-7400P&id=2451
AMD A10-7700K APU,"3,204",2534,25.03,$128.02,cpu_lookup.php?cpu=AMD+A10-7700K+APU&id=2146
AMD A10-7800 APU,"3,212",2532,107.12,$29.99*,cpu_lookup.php?cpu=AMD+A10-7800+APU&id=2262
AMD A10-7850K APU,"3,395",2443,25.15,$134.99,cpu_lookup.php?cpu=AMD+A10-7850K+APU&id=2133
AMD A10-7860K,"3,279",2499,62.01,$52.87*,cpu_lookup.php?cpu=AMD+A10-7860K&id=2722
AMD A10-7870K,"3,494",2405,6.76,$517.20*,cpu_lookup.php?cpu=AMD+A10-7870K&id=2531
AMD A10-7890K,"3,558",2385,26.13,$136.17*,cpu_lookup.php?cpu=AMD+A10-7890K&id=2744
AMD A10-8700P,"2,252",3012,NA,NA,cpu_lookup.php?cpu=AMD+A10-8700P&id=2542
AMD A10-8750,"3,231",2523,NA,NA,cpu_lookup.php?cpu=AMD+A10-8750&id=2603
AMD A10-8850,"3,438",2420,NA,NA,cpu_lookup.php?cpu=AMD+A10-8850&id=2776
AMD A10-9600P,"2,349",2952,NA,NA,cpu_lookup.php?cpu=AMD+A10-9600P&id=2793
AMD A10-9620P,"2,521",2854,NA,NA,cpu_lookup.php?cpu=AMD+A10-9620P&id=3060
AMD A10-9630P,"2,946",2644,NA,NA,cpu_lookup.php?cpu=AMD+A10-9630P&id=2857
AMD A10-9700,"3,558",2384,118.63,$29.99*,cpu_lookup.php?cpu=AMD+A10-9700&id=2900
AMD A10-9700E,"3,235",2518,25.27,$128.02,cpu_lookup.php?cpu=AMD+A10-9700E&id=3133
AMD A12-9700P,"2,424",2907,NA,NA,cpu_lookup.php?cpu=AMD+A12-9700P&id=2848
AMD A12-9720P,"2,639",2781,NA,NA,cpu_lookup.php?cpu=AMD+A12-9720P&id=3043
AMD A12-9730P,"3,027",2601,NA,NA,cpu_lookup.php?cpu=AMD+A12-9730P&id=3040
AMD A12-9800,"3,672",2353,66.77,$55.00*,cpu_lookup.php?cpu=AMD+A12-9800&id=2861
AMD A12-9800E,"3,471",2412,25.15,$138.02*,cpu_lookup.php?cpu=AMD+A12-9800E&id=3083
AMD A4 Micro-6400T APU,"1,082",3872,NA,NA,cpu_lookup.php?cpu=AMD+A4+Micro-6400T+APU&id=2413
AMD A4 PRO-3340B,"1,709",3357,NA,NA,cpu_lookup.php?cpu=AMD+A4+PRO-3340B&id=2653
AMD A4 PRO-7300B APU,"1,458",3537,NA,NA,cpu_lookup.php?cpu=AMD+A4+PRO-7300B+APU&id=2439
AMD A4 PRO-7350B,"1,544",3483,NA,NA,cpu_lookup.php?cpu=AMD+A4+PRO-7350B&id=2450
