Videocard Name,Passmark G3D Mark (higher is better),Rank (lower is better),Videocard Value (higher is better),Price (USD),GPU Link
256MB DDR Radeon 9800 XT,37,2412,NA,NA,video_lookup.php?gpu=256MB+DDR+Radeon+9800+XT&id=162
6FDF:FF,9528,246,NA,NA,video_lookup.php?gpu=6FDF%3AFF&id=5867
7900 MOD - Radeon HD 6520G,610,1567,NA,NA,video_lookup.php?gpu=7900+MOD+-+Radeon+HD+6520G&id=2314
7900 MOD - Radeon HD 6550D,892,1295,NA,NA,video_lookup.php?gpu=7900+MOD+-+Radeon+HD+6550D&id=2390
A10-12Q,9493,248,NA,NA,video_lookup.php?gpu=A10-12Q&id=5065
A10-8Q,6537,347,NA,NA,video_lookup.php?gpu=A10-8Q&id=4780
A16,5280,423,NA,NA,video_lookup.php?gpu=A16&id=4527
A16-16Q,4451,502,NA,NA,video_lookup.php?gpu=A16-16Q&id=6151
A16-1Q,3275,604,NA,NA,video_lookup.php?gpu=A16-1Q&id=5827
A16-2B,2442,725,NA,NA,video_lookup.php?gpu=A16-2B&id=5082
A16-2Q,4747,473,NA,NA,video_lookup.php?gpu=A16-2Q&id=4956
A16-4Q,4327,512,NA,NA,video_lookup.php?gpu=A16-4Q&id=5067
A40-24Q,3317,599,NA,NA,video_lookup.php?gpu=A40-24Q&id=4750
A6 Micro-6500T Quad-Core APU with RadeonR4,220,1984,NA,NA,video_lookup.php?gpu=A6+Micro-6500T+Quad-Core+APU+with+RadeonR4&id=3424
ABIT Siluro T400,3,2608,NA,NA,video_lookup.php?gpu=ABIT+Siluro+T400&id=3355
ALL-IN-WONDER 9000,4,2575,NA,NA,video_lookup.php?gpu=ALL-IN-WONDER+9000&id=214
ALL-IN-WONDER 9800,23,2481,NA,NA,video_lookup.php?gpu=ALL-IN-WONDER+9800&id=217
ALL-IN-WONDER RADEON 8500DV,5,2561,NA,NA,video_lookup.php?gpu=ALL-IN-WONDER+RADEON+8500DV&id=222
All-in-Wonder X1800XL,30,2453,NA,NA,video_lookup.php?gpu=All-in-Wonder+X1800XL&id=228
All-in-Wonder X1900,127,2131,NA,NA,video_lookup.php?gpu=All-in-Wonder+X1900&id=229
ALL-IN-WONDER X800 GT,84,2256,NA,NA,video_lookup.php?gpu=ALL-IN-WONDER+X800+GT&id=230
AMD Ryzen Z1 Extreme,6539,346,NA,NA,video_lookup.php?gpu=AMD+Ryzen+Z1+Extreme&id=4918
AMIGAMERLIN 3.1-R1 For Voodoo 4 4500 PCI,3,2633,NA,NA,video_lookup.php?gpu=AMIGAMERLIN+3.1-R1+For+Voodoo+4+4500+PCI&id=4177
ASUS A7000,9,2521,NA,NA,video_lookup.php?gpu=ASUS+A7000&id=336
ASUS AGP-V3800PRO v31.40H,4,2594,NA,NA,video_lookup.php?gpu=ASUS+AGP-V3800PRO+v31.40H&id=2539
ASUS EAH4870x2,496,1716,NA,NA,video_lookup.php?gpu=ASUS+EAH4870x2&id=346
Asus GTX 650 FML II EC-EGPU,720,1440,NA,NA,video_lookup.php?gpu=Asus+GTX+650+FML+II+EC-EGPU&id=3638
ASUS V9520-X V62.11,7,2532,NA,NA,video_lookup.php?gpu=ASUS+V9520-X+V62.11&id=375
B8DKMDAP,4557,488,NA,NA,video_lookup.php?gpu=B8DKMDAP&id=3941
Barco MXRT 1450,205,2005,NA,NA,video_lookup.php?gpu=Barco+MXRT+1450&id=2698
Barco MXRT 2600,900,1289,4.52,$199.00*,video_lookup.php?gpu=Barco+MXRT+2600&id=3886
Barco MXRT 5400,1161,1145,5.72,$203.00*,video_lookup.php?gpu=Barco+MXRT+5400&id=3354
Barco MXRT 5450,1079,1178,5.40,$199.99*,video_lookup.php?gpu=Barco+MXRT+5450&id=2526
Barco MXRT 5500,2701,681,9.04,$299.00*,video_lookup.php?gpu=Barco+MXRT+5500&id=2699
Barco MXRT 5600,2465,721,3.50,$704.00*,video_lookup.php?gpu=Barco+MXRT+5600&id=4158
Barco MXRT 7100,180,2029,NA,NA,video_lookup.php?gpu=Barco+MXRT+7100&id=2621
Barco MXRT 7400,900,1288,9.10,$99.00*,video_lookup.php?gpu=Barco+MXRT+7400&id=2474
Barco MXRT 7500,3753,551,12.55,$299.00*,video_lookup.php?gpu=Barco+MXRT+7500&id=3353
Barco MXRT 7600,4943,457,8.20,$602.59*,video_lookup.php?gpu=Barco+MXRT+7600&id=4014
BASICDISPLAY,69,2300,NA,NA,video_lookup.php?gpu=BASICDISPLAY&id=3144
Citrix Indirect Display Adapter,1888,886,NA,NA,video_lookup.php?gpu=Citrix+Indirect+Display+Adapter&id=3967
CMP 30HX,8135,289,NA,NA,video_lookup.php?gpu=CMP+30HX&id=4974
CMP 40HX,9136,257,NA,NA,video_lookup.php?gpu=CMP+40HX&id=4903
CONNECT 3D RADEON X300,36,2418,NA,NA,video_lookup.php?gpu=CONNECT+3D+RADEON+X300&id=648
Custom GPU 0405,2912,650,NA,NA,video_lookup.php?gpu=Custom+GPU+0405&id=4528
Custom GPU 0932,3242,610,NA,NA,video_lookup.php?gpu=Custom+GPU+0932&id=5164
Dell 8100,2,2658,0.00,$999.11*,video_lookup.php?gpu=Dell+8100&id=657
Dell 8200,4,2596,NA,NA,video_lookup.php?gpu=Dell+8200&id=658
Diamond X1300-PCIE 256MB,70,2299,NA,NA,video_lookup.php?gpu=Diamond+X1300-PCIE+256MB&id=2426
EAH5450,134,2116,1.22,$109.99*,video_lookup.php?gpu=EAH5450&id=3742
EIZO Quadro MED-XN51LP,5048,451,NA,NA,video_lookup.php?gpu=EIZO+Quadro+MED-XN51LP&id=4000
Embedded Radeon E9173,1772,925,NA,NA,video_lookup.php?gpu=Embedded+Radeon+E9173&id=3883
Eng Sample: 100-000000560-40_Y,5655,389,NA,NA,video_lookup.php?gpu=Eng+Sample%3A+100-000000560-40_Y&id=5945
Eng Sample: 100-000000561-40_Y,4206,518,NA,NA,video_lookup.php?gpu=Eng+Sample%3A+100-000000561-40_Y&id=5946
Extreme AX850 PRO,120,2155,NA,NA,video_lookup.php?gpu=Extreme+AX850+PRO&id=3958
FireGL T2-128,30,2451,NA,NA,video_lookup.php?gpu=FireGL+T2-128&id=387
FireGL V3100,52,2345,NA,NA,video_lookup.php?gpu=FireGL+V3100&id=388
FireGL V3200,84,2253,NA,NA,video_lookup.php?gpu=FireGL+V3200&id=389
FireGL V3300,70,2297,NA,NA,video_lookup.php?gpu=FireGL+V3300&id=391
FireGL V3350,68,2305,NA,NA,video_lookup.php?gpu=FireGL+V3350&id=392
FireGL V3400,103,2207,NA,NA,video_lookup.php?gpu=FireGL+V3400&id=393
FireGL V3600,179,2030,1.12,$160.99*,video_lookup.php?gpu=FireGL+V3600&id=394
FireGL V5100,92,2237,0.81,$114.96*,video_lookup.php?gpu=FireGL+V5100&id=396
FireGL V5200,114,2172,0.86,$133.40*,video_lookup.php?gpu=FireGL+V5200&id=397
FireGL V5600,341,1862,1.52,$225.00*,video_lookup.php?gpu=FireGL+V5600&id=398
FireGL V7100,71,2291,0.22,$328.67*,video_lookup.php?gpu=FireGL+V7100&id=399
FireGL V7200,116,2165,NA,NA,video_lookup.php?gpu=FireGL+V7200&id=400
FireGL V7300,128,2127,0.11,"$1,189.99*",video_lookup.php?gpu=FireGL+V7300&id=401
FireGL V7350,110,2186,0.93,$119.42*,video_lookup.php?gpu=FireGL+V7350&id=402
FireGL V7600,615,1559,NA,NA,video_lookup.php?gpu=FireGL+V7600&id=403
FireGL V7700,660,1496,9.43,$69.99*,video_lookup.php?gpu=FireGL+V7700&id=404
FireGL V8600,838,1329,NA,NA,video_lookup.php?gpu=FireGL+V8600&id=405
FireGL V8650,550,1646,1.84,$298.99*,video_lookup.php?gpu=FireGL+V8650&id=406
FireGL X1,59,2333,NA,NA,video_lookup.php?gpu=FireGL+X1&id=407
FireMV 2200 PCI,1,2675,NA,NA,video_lookup.php?gpu=FireMV+2200+PCI&id=415
FireMV 2200 PCIe,36,2420,0.40,$89.99*,video_lookup.php?gpu=FireMV+2200+PCIe&id=414
FireMV 2250,45,2374,0.44,$104.00*,video_lookup.php?gpu=FireMV+2250&id=416
FireMV 2260,117,2161,1.33,$88.08*,video_lookup.php?gpu=FireMV+2260&id=417
FireMV 2400 PCIe,11,2513,NA,NA,video_lookup.php?gpu=FireMV+2400+PCIe&id=418
FireMV 2450,73,2285,NA,NA,video_lookup.php?gpu=FireMV+2450&id=420
FirePro 2260,112,2177,NA,NA,video_lookup.php?gpu=FirePro+2260&id=422
FirePro 2270,142,2090,1.06,$134.00*,video_lookup.php?gpu=FirePro+2270&id=115
FirePro 2450,51,2354,0.57,$89.99*,video_lookup.php?gpu=FirePro+2450&id=423
FirePro 2460,170,2047,2.03,$83.99*,video_lookup.php?gpu=FirePro+2460&id=237
FirePro 3D V3700,178,2033,2.10,$84.99*,video_lookup.php?gpu=FirePro+3D+V3700&id=429
FirePro 3D V3750,341,1860,6.71,$50.88*,video_lookup.php?gpu=FirePro+3D+V3750&id=430
FirePro 3D V3800,472,1744,3.15,$149.99*,video_lookup.php?gpu=FirePro+3D+V3800&id=431
FirePro 3D V4800,853,1317,5.33,$159.99*,video_lookup.php?gpu=FirePro+3D+V4800&id=433
FirePro 3D V5700,546,1652,1.71,$319.99*,video_lookup.php?gpu=FirePro+3D+V5700&id=435
FirePro 3D V5800,1231,1113,6.04,$204.00*,video_lookup.php?gpu=FirePro+3D+V5800&id=436
FirePro 3D V7750,545,1656,1.56,$350.00*,video_lookup.php?gpu=FirePro+3D+V7750&id=437
FirePro 3D V7800,1867,892,3.11,$599.99*,video_lookup.php?gpu=FirePro+3D+V7800&id=438
FirePro 3D V8700,1206,1121,7.09,$170.07*,video_lookup.php?gpu=FirePro+3D+V8700&id=440
FirePro 3D V8750,1271,1097,1.03,"$1,230.99*",video_lookup.php?gpu=FirePro+3D+V8750&id=441
FirePro 3D V8800,2437,726,5.74,$424.99*,video_lookup.php?gpu=FirePro+3D+V8800&id=442
FirePro 3D V9800,2811,661,1.13,"$2,499.00*",video_lookup.php?gpu=FirePro+3D+V9800&id=443
FirePro M2000,425,1793,NA,NA,video_lookup.php?gpu=FirePro+M2000&id=2268
FirePro M4000,1595,989,21.91,$72.83*,video_lookup.php?gpu=FirePro+M4000&id=238
FirePro M4000 Mobility Pro,1629,972,NA,NA,video_lookup.php?gpu=FirePro+M4000+Mobility+Pro&id=3360
FirePro M40003,1364,1069,NA,NA,video_lookup.php?gpu=FirePro+M40003&id=2194
Firepro M4100,1059,1187,NA,NA,video_lookup.php?gpu=Firepro+M4100&id=3016
FirePro M4150,994,1226,NA,NA,video_lookup.php?gpu=FirePro+M4150&id=3224
FirePro M4170,1188,1132,NA,NA,video_lookup.php?gpu=FirePro+M4170&id=3145
FirePro M5100,2102,812,NA,NA,video_lookup.php?gpu=FirePro+M5100&id=2818
FirePro M5100 FireGL V,1839,900,NA,NA,video_lookup.php?gpu=FirePro+M5100+FireGL+V&id=3125
FirePro M5950,1314,1082,NA,NA,video_lookup.php?gpu=FirePro+M5950&id=233
FirePro M6000,1820,908,5.58,$325.99*,video_lookup.php?gpu=FirePro+M6000&id=2231
FirePro M6000 Mobility Pro,1712,943,NA,NA,video_lookup.php?gpu=FirePro+M6000+Mobility+Pro&id=2437
FirePro M6100,2337,752,NA,NA,video_lookup.php?gpu=FirePro+M6100&id=2657
FirePro M6100 FireGL V,2875,653,NA,NA,video_lookup.php?gpu=FirePro+M6100+FireGL+V&id=3695
FirePro M7740,665,1493,NA,NA,video_lookup.php?gpu=FirePro+M7740&id=425
FirePro R5000,2646,688,24.06,$109.99*,video_lookup.php?gpu=FirePro+R5000&id=3444
FirePro RG220,335,1870,0.52,$650.18*,video_lookup.php?gpu=FirePro+RG220&id=427
FirePro S10000,4768,470,NA,NA,video_lookup.php?gpu=FirePro+S10000&id=3330
FirePro S7000,4523,490,18.35,$246.54*,video_lookup.php?gpu=FirePro+S7000&id=2804
FirePro S7150,3770,548,2.22,"$1,697.99*",video_lookup.php?gpu=FirePro+S7150&id=3604
FirePro S9000,5059,449,NA,NA,video_lookup.php?gpu=FirePro+S9000&id=3209
FirePro S9050,4901,461,NA,NA,video_lookup.php?gpu=FirePro+S9050&id=4287
FirePro V3800,320,1885,2.57,$124.99*,video_lookup.php?gpu=FirePro+V3800&id=3518
FirePro V3900,639,1524,2.68,$238.44*,video_lookup.php?gpu=FirePro+V3900&id=240
FirePro V4900,1005,1215,6.70,$149.99*,video_lookup.php?gpu=FirePro+V4900&id=241
FirePro V5700,464,1754,2.47,$188.06*,video_lookup.php?gpu=FirePro+V5700&id=3111
FirePro V5800,1180,1133,22.27,$53.00*,video_lookup.php?gpu=FirePro+V5800&id=3427
FirePro V5900,1263,1100,14.69,$86.00*,video_lookup.php?gpu=FirePro+V5900&id=243
FirePro V7000,3161,620,NA,NA,video_lookup.php?gpu=FirePro+V7000&id=2675
FirePro V7800,2028,837,10.68,$190.00*,video_lookup.php?gpu=FirePro+V7800&id=3907
FirePro V7900,2254,774,11.87,$190.00*,video_lookup.php?gpu=FirePro+V7900&id=245
FirePro V8700,1538,1012,9.75,$157.88*,video_lookup.php?gpu=FirePro+V8700&id=3105
FirePro V8800,2280,765,11.52,$198.00*,video_lookup.php?gpu=FirePro+V8800&id=3344
FirePro V9800,2726,678,5.75,$474.00*,video_lookup.php?gpu=FirePro+V9800&id=3423
FirePro W2100,854,1316,14.49,$59.00*,video_lookup.php?gpu=FirePro+W2100&id=2940
FirePro W4100,1524,1018,8.29,$184.00*,video_lookup.php?gpu=FirePro+W4100&id=3019
FirePro W4170M,1054,1188,NA,NA,video_lookup.php?gpu=FirePro+W4170M&id=3070
Firepro W4190M,1149,1148,NA,NA,video_lookup.php?gpu=Firepro+W4190M&id=3491
FirePro W4300,2797,665,11.66,$239.99*,video_lookup.php?gpu=FirePro+W4300&id=3425
FirePro W5000,2988,640,16.24,$184.00*,video_lookup.php?gpu=FirePro+W5000&id=2227
FirePro W5100,2977,643,23.63,$125.99*,video_lookup.php?gpu=FirePro+W5100&id=3044
FirePro W5130M,1405,1059,NA,NA,video_lookup.php?gpu=FirePro+W5130M&id=3440
Firepro W5170M,1819,909,NA,NA,video_lookup.php?gpu=Firepro+W5170M&id=3470
FirePro W600,1682,957,4.05,$414.99*,video_lookup.php?gpu=FirePro+W600&id=2371
FirePro W6150M,2358,746,NA,NA,video_lookup.php?gpu=FirePro+W6150M&id=4341
FirePro W7000,4255,516,15.30,$278.05*,video_lookup.php?gpu=FirePro+W7000&id=2232
FirePro W7000 Adapter,4359,509,NA,NA,video_lookup.php?gpu=FirePro+W7000+Adapter&id=2647
FirePro W7100,5235,427,13.45,$389.30*,video_lookup.php?gpu=FirePro+W7100&id=3130
FirePro W7170M,3161,621,NA,NA,video_lookup.php?gpu=FirePro+W7170M&id=3412
FirePro W8000,4163,519,7.27,$573.00*,video_lookup.php?gpu=FirePro+W8000&id=2427
FirePro W8100,6671,344,9.48,$704.00*,video_lookup.php?gpu=FirePro+W8100&id=2937
FirePro W9000,6157,362,7.29,$845.00*,video_lookup.php?gpu=FirePro+W9000&id=2281
FirePro W9100,7747,304,4.48,"$1,729.99*",video_lookup.php?gpu=FirePro+W9100&id=3028
FireStream 9170,647,1515,NA,NA,video_lookup.php?gpu=FireStream+9170&id=3357
FireStream 9250,1164,1141,NA,NA,video_lookup.php?gpu=FireStream+9250&id=2652
FireStream 9270,1341,1078,NA,NA,video_lookup.php?gpu=FireStream+9270&id=2960
FireStream 9370,2528,711,NA,NA,video_lookup.php?gpu=FireStream+9370&id=247
GeCube RADEON 7000,8,2523,NA,NA,video_lookup.php?gpu=GeCube+RADEON+7000&id=699
GeForce 205,126,2136,NA,NA,video_lookup.php?gpu=GeForce+205&id=1168
GeForce 210,125,2138,2.31,$54.15*,video_lookup.php?gpu=GeForce+210&id=1169
GeForce 240M GT,319,1888,NA,NA,video_lookup.php?gpu=GeForce+240M+GT&id=4035
GeForce 256,5,2571,0.12,$42.04*,video_lookup.php?gpu=GeForce+256&id=1170
GeForce 305M,150,2069,NA,NA,video_lookup.php?gpu=GeForce+305M&id=1171
GeForce 310,142,2088,1.32,$108.35*,video_lookup.php?gpu=GeForce+310&id=1172
GeForce 310M,122,2146,NA,NA,video_lookup.php?gpu=GeForce+310M&id=102
GeForce 315,198,2014,6.02,$32.99*,video_lookup.php?gpu=GeForce+315&id=1173
GeForce 315M,114,2170,NA,NA,video_lookup.php?gpu=GeForce+315M&id=1174
GeForce 320M,209,1999,NA,NA,video_lookup.php?gpu=GeForce+320M&id=1175
GeForce 405,118,2160,4.79,$24.64*,video_lookup.php?gpu=GeForce+405&id=1177
GeForce 410M,267,1934,NA,NA,video_lookup.php?gpu=GeForce+410M&id=1178
GeForce 505,143,2086,1.25,$115.06*,video_lookup.php?gpu=GeForce+505&id=2604
GeForce 510,290,1910,4.15,$69.99*,video_lookup.php?gpu=GeForce+510&id=1179
GeForce 605,319,1887,2.34,$136.83*,video_lookup.php?gpu=GeForce+605&id=1180
GeForce 6100,27,2460,NA,NA,video_lookup.php?gpu=GeForce+6100&id=1181
GeForce 6100 nForce 400,25,2471,NA,NA,video_lookup.php?gpu=GeForce+6100+nForce+400&id=1182
GeForce 6100 nForce 405,26,2462,NA,NA,video_lookup.php?gpu=GeForce+6100+nForce+405&id=1183
GeForce 6100 nForce 420,25,2470,NA,NA,video_lookup.php?gpu=GeForce+6100+nForce+420&id=1185
GeForce 6100 nForce 430,23,2483,NA,NA,video_lookup.php?gpu=GeForce+6100+nForce+430&id=1186
GeForce 610M,291,1908,NA,NA,video_lookup.php?gpu=GeForce+610M&id=2125
GeForce 615,507,1703,NA,NA,video_lookup.php?gpu=GeForce+615&id=2361
GeForce 6150,21,2486,0.07,$329.00*,video_lookup.php?gpu=GeForce+6150&id=1187
GeForce 6150 LE,33,2436,NA,NA,video_lookup.php?gpu=GeForce+6150+LE&id=1188
GeForce 6150SE,24,2474,NA,NA,video_lookup.php?gpu=GeForce+6150SE&id=1189
GeForce 6150SE nForce 430,30,2450,NA,NA,video_lookup.php?gpu=GeForce+6150SE+nForce+430&id=74
GeForce 6200,37,2414,0.71,$53.17*,video_lookup.php?gpu=GeForce+6200&id=1191
GeForce 6200 A-LE,32,2445,NA,NA,video_lookup.php?gpu=GeForce+6200+A-LE&id=1192
GeForce 6200 LE,32,2442,0.80,$41.24*,video_lookup.php?gpu=GeForce+6200+LE&id=125
GeForce 6200 TurboCache,52,2347,NA,NA,video_lookup.php?gpu=GeForce+6200+TurboCache&id=1194
