appid,name,last_modified,price_change_number
1740220,The Old Ones,1654582851,0
1740230,Furquest,1743516381,28412535
1740250,Strange Town,1688400106,26493364
1740310,Tiny Witch,1743523726,28433849
1740380,Pandea Stones,1661369994,28055631
1740420,Colors! Maze,1709599951,28055631
1740470,Hot Swap: Cyberlust,1637206810,28350175
1740490,The Elm Game,1669894168,21312825
1740530,REDSIDE episode 1,1659264665,28350175
1740550,Sports Betting Simulator,1638803384,13343313
1740570,CURSED NIGHT - The House,1642758619,28350175
1740600,Knight&Princess,1637938994,13471940
1740610,ESCAPE FROM DOCY,1631805141,14742985
1740760,Rayland,1673206413,28471043
1740870,Augmented Future,1679953964,13180425
1740890,I Love Finding Pups,1729486088,28055631
1740920,缥缈修仙录,1691943827,0
1740950,Queen of Succubus,1640004889,28293398
1740990,Lawnmower Game: Space Fight,1651223507,28055631
1741030,Sanae Toumaden X2 / 早苗討魔伝X2,1668380886,28055631
1741120,Fantasy General,1728487091,28055631
1741130,Pacific General,1728493370,28055631
1741150,War Wind II: Human Onslaught,1728494135,28055631
1741160,Catch Me!,1674582308,28471043
1741170,乌合之众,1736241805,0
1741200,Gobby Island,1734364888,0
1741220,Forbidden place,1633175238,26388145
1741260,Faster Than Possible,1721423456,28471043
1741270,Solomon Division,1740205403,0
1741300,"SIT DOWN, PLEASE",1631865577,13581874
1741420,OplitisAV,1694538320,28055631
1741430,Blobby's Quest,1741765058,0
1741440,Koru,1707857509,0
1741450,Heroes of the Galaxy,1655990747,0
1741480,Ultimaze,1718962572,26842405
1741490,Undying Lantern,1653800033,26493364
1741510,Traffic Command: Reborn,1631570161,28055631
1741520,Air Strike,1631517046,28055631
1741550,来自女巫森林的法师,1632213877,26388145
1741620,Spirit and Katana,1687227064,28246814
1741650,Iron Age,1680732578,26388145
1741670,Hedgie Simulator,1652723988,18186143
1741730,FORTRESS DEFENDER,1723558776,26388145
1741900,You VS Drugs,1723687150,23964340
1741940,Project Shanto Rancher,1645137218,0
1742010,Ghosted: The Puzzle Master,1704340482,26493364
1742040,Kingslayers,1640746053,0
1742060,Purify,1638076557,13853601
1742080,Fishing at Lotus Lakes,1658497675,28313218
1742110,Demon Lord: Clicker,1722900566,26388145
1742120,Mary Knots - Garden Wedding,1741881632,27936822
1742170,Eco Park,1635577777,26388145
1742230,Sandfall,1730470406,28350175
1742240,Hymns of Resurrection,1730470305,28350175
1742250,Electric Car Tycoon,1631182683,0
1742310,Andromeda Acolytes,1661419795,0
1742330,TARAKAN - Mystery Point & Click Adventure,1633941481,28433849
1742340,Submarine VR,1688061928,26842405
1742350,Sweet Desire: Hentai Puzzle,1635935066,25247734
1742370,Instinct,1699259301,0
1742390,Ayna: Shattered Truth,1744550809,0
1742410,Green City,1687344170,22736671
1742440,COP BASTARD,1734294499,0
1742480,Eternal night,1646127020,28055631
1742500,My Dear Frankenstein -English Edition-,1633704737,18186143
1742540,Monster Tamer,1669920912,0
1742590,TEMPUS,1671183826,28350175
1742600,Perish Song,1667512013,18186143
1742620,Sudoku Minimalist Infinite,1743595855,28350175
1742690,Requiem,1648216664,16167366
1742730,Greek Tragedy,1743419268,0
1742740,Ribby: The Game,1742490049,0
1742750,Delta Zero,1640362010,21760363
1742770,Dark Age Empires,1735277423,0
1742820,TIMESCAPE: Altitude,1643705170,26493364
1742830,Game Removed,1678042747,0
1742860,Empyrean Scout,1743398650,0
1742870,Iron Tracks TD,1726123206,0
1742880,ファントムゾーン　クリプトファシア,1674883884,28412535
1742900,Wings Of WW2,1633357358,28412535
1742910,The Forest Prison,1654360221,24753431
1742940,Poly Puzzle: Furries,1731265512,28055631
1742950,Lifeflame Compendium,1712627362,0
1742970,Narco Lolita,1669130768,28055631
1743000,Against Death,1730068270,0
1743010,One Last Memory,1725288559,28232675
1743070,Fuga da Rowei,1630556774,0
1743110,Sidequest,1656895194,26388145
1743140,"I, W.O.M.A.N.",1742528598,28055631
1743150,Touch from a Raindrop,1744489683,22736671
1743180,Close Quarters Supremacy The Legis,1682527201,12699284
1743190,LOVE! TRUTH! PUZZLE!,1720787490,28412535
1743220,Spectrum,1648176233,14101277
1743230,Time of the Clones,1701559489,28293398
1743280,Lola - The Escape,1631801896,28055631
1743350,KOSHMAR,1632124907,26842405
1743380,SCP: Doki Doki Anomaly,1635188270,24004702
1743390,YetiFree,1734201221,28055631
1743430,Firebird: Legend of the Crystal Goddesses,1725142515,0
1743450,Danglebox,1667437572,0
1743470,Dirty Wars: September 11,1698238428,25229433
1743530,"Mireille and Amrita, the Forest of Illusions",1733980326,28446320
1743570,RFVR,1725815420,28055631
1743580,Horny Elves and a Moral Orc,1725522635,28479319
1743610,Running Water,1632520852,15609561
1743660,心灵迷宫（ Mind maze）,1705290363,28055631
1743670,Axon Hero,1709173757,26842405
1743710,100 Doors - Escape from Prison,1740476220,28055631
1743720,Typer Hero (打字英雄),1678711661,26842405
1743730,"Sir, You Are Being Hunted: Reinvented Edition",1710102098,0
1743780,*NEW* FINAL SCUFFED WITH A LITTLE POLISH BHOP EXPERIENCE 2029 BRAIN ROT EDITION (POG CHAMP),1732895084,26253459
1743790,Dip The Frog,1641816529,0
1743810,The forgotten phobia,1703335959,28433849
1743820,Orph - The Lost Boy,1689763840,26041635
1743930,Froggo Swing 'n Grapple,1730378122,26842405
1743940,誰是犯案者 Who is the Criminal,1736876158,27875631
1744020,Domino Effect: Build and Topple,1632478157,12659100
1744050,Hidden Words,1726261644,28055631
1744060,DOGS.IO,1689938207,28055631
1744070,Solomon Snow: First Contact,1710536315,28055631
1744120,Cannibals,1693673174,27350170
1744130,Determina,1668024201,26253459
1744140,Conundrum,1739278498,28107555
1744200,City Legends: The Curse of the Crimson Shadow Collector's Edition,1735140558,27992738
1744280,Innocent Critters,1665100415,0
1744290,Wasteland Warden,1669147124,0
1744350,Project Create,1666669427,0
1744380,Richard West and the Golden Mask,1639566455,21760363
1744400,Jujubos Puzzle,1631802146,26493364
1744420,Halloween Memory: Reborn,1631712118,28055631
1744430,Fairy Godmother Stories: Miraculous Dream Collector's Edition,1630689559,28055631
1744450,Indirection,1671590517,28055631
1744460,Soul Climb,1638450886,17199706
1744510,Ballin',1632937853,26842405
1744580,EVAN QUEST,1698971712,28350175
1744590,Love Sucks: Night Three,1714898630,0
1744610,Prime Directive,1739857834,28055631
1744630,Seance,1679282133,18101870
1744640,Nineteen,1643252613,28055631
1744650,Iris Covenant –Song of the Forgotten Heroes–,1633136599,28055631
1744670,Back 4 Boobs: Sakura's Escape,1633086170,28055631
1744740,Born in Blood,1678117298,0
1744750,东方求闻音录,1682430590,28055631
1744760,The Adventures of Detective Bron,1696356470,0
1744770,Rocklen,1688934213,26253459
1744790,Match Three Pirates II,1706275343,28350175
1744820,Flibbles,1639262515,0
1744850,Hexoplanet,1666803506,0
1744880,Nodyssey,1724779761,0
1744930,Touching Grass Simulator,1741224202,0
1744970,Petit Island,1738988433,28055631
1745000,Fisherman's House,1715093279,28471043
1745020,Cleromancy,1680052340,0
1745030,Falling Kwadrats,1641989932,24324481
1745040,History of Football World Cup,1652355272,14862425
1745050,Omen Fall,1744695955,28452935
1745140,Naughty Puzzles,1706954093,25247734
1745160,Forest Football,1725448857,28055631
1745190,Against Ether,1688042697,0
1745210,Timewell: Trail of Celestes,1685965181,26388145
1745220,Mr.DomusMundi,1662668227,28471043
1745240,KEMONOPOLY,1727096673,28471043
1745260,Girls Cairo Papyrus,1718867859,21541449
1745280,Magitek VR,1743164318,26184271
1745340,WhenNightComes,1634662363,27293611
1745350,Clash of the Metal,1686210465,0
1745360,Dynacat,1709312431,28318324
1745370,Ragnar,1642158428,13727824
1745380,UNDER the WATER - an ocean survival game,1700400677,28055631
1745390,High Tech Low Life®,1722986684,0
1745410,Skattered Dream,1633033412,24324481
1745480,Phantom Project,1662765432,28055631
1745520,REDSHOT,1697046386,28055631
1745530,Lost Awakening,1698171258,26842405
1745560,The Oldest Edda,1707937126,26493364
1745620,The Oath of The Dark Magic Queen,1636138965,28055631
1745640,MACE: Mapinguari's Temple,1727373751,28055631
1745650,Dat Hentai Game,1632498622,28055631
1745680,Odd Remedy,1744004386,28055631
1745700,Impossible Slasher! Hack and Slash,1709761926,0
1745710,"Cato, the cat",1681821138,28471043
1745760,Brave Tales,1708050302,0
1745800,Doom Work,1718924365,28471043
1745810,Scaredom,1664285912,0
1745820,Love Hentai and Puzzles: Dungeon Boobs,1668778380,28350175
1745840,Love Hentai and Puzzles: Cyberpunk Babes,1656352537,28350175
1745860,Speed Creators,1728105758,0
1745880,Glob Dash,1716658987,26388145
1745920,征服者之王,1720300498,0
1745960,Circuit Breaker,1725688562,28055631
1745990,Lost but Lucid,1671688910,28350175
1746040,Technikiller,1663883069,0
1746080,You are a slave!,1632096340,28433849
1746120,Halloween Trouble 3: Match 3 Puzzle,1657123209,28433849
1746130,Onmyoji in the Otherworld: Sayaka's Story,1724997068,28055631
1746140,AsteroidTD,1712329253,28055631
1746150,Nosos,1716715657,26388145
1746210,日记簿,1667374765,26388145
1746230,Too Many Humans,1639579404,13049215
1746280,Ball Ranger,1633612056,14156550
1746340,Poop Plague in Fairyland,1683478009,18734915
1746400,The Foretold: Westmark Legacy,1730711158,28471043
1746420,Ripple 涟,1633175185,12795866
1746500,AsMagnet,1632554276,12945629
1746520,IDIOTIC (The Game),1675348496,28055631
1746530,Confessions at Candlewood Lake,1723961109,28471043
1746540,游戏：异星,1684664304,24324481
1746560,Blacken Slash,1727250359,28055631
1746590,Crystal Story: Dawn of Dusk,1733059019,28055631
1746620,Where is Paradise ?,1718112127,28055631
1746630,69 Erika Love,1709029367,28350175
1746640,邪恶勇者,1703115936,26842405
1746650,Paradise Trails,1633094717,28055631
1746660,Space Ballers,1659479071,28454951
1746700,The Alchemist Shop: An Apprentice's Life,1662477888,27188032
1746730,Hidden Objects - Cartoon Fantasy,1740403288,28471043
1746760,BOOMER SLAYERS,1656343930,17248449
1746770,The Chicken's Fall,1632473905,26842405
1746820,HYDROGEN,1731502523,26121163
1746830,Sailing Stone,1666991903,16531560
1746970,Cat Clicker,1637778384,16899276
1746980,RAIN IN THE ABYSS,1696443471,0
1747030,The Trials,1713726368,28055631
1747110,Base Wars,1635692457,14025103
1747150,Jackpot Bennaction - B02 : Discover The Mystery Combination,1634570244,16483738
1747160,Pornocrates: Osiris's Seed,1705948247,28206277
1747190,Lighthaze World,1742860309,0
1747220,Neverspring Chronicles,1742769505,28055631
1747300,SelobusFantasy,1725336427,28272826
1747310,Catana,1705469752,28286999
1747330,A Lose Hero in the Castle of the Succubi,1733273335,28055631
1747340,Hentai Girls Sliding Puzzle,1738060423,28055631
1747430,Bomberpet,1679680721,28446320
1747440,Rocket Jump,1642624112,23346598
1747450,成土市的我 CTcity,1739007786,28055631
1747470,Road Diner Simulator,1733396396,0
1747490,Fantasy Match Puzzle,1740395789,28471043
1747500,Crom: Journey of Conquest,1683617961,28055631
1747510,An Architect's Adventure,1682941531,28055631
1747520,Yuzi Lims: Puzzle,1632381504,28055631
1747560,Chronicles of 2 Heroes: Amaterasu's Wrath,1726215934,28055631
1747570,Crazy Athletics - Summer Sports & Games,1638511983,24324481
1747580,SGS Fall Weiss,1742830166,28055631
1747630,For The Hive,1743259639,0
1747660,Mother of All Secrets,1722842468,0
1747670,Jewel Match Twilight 3 Collector's Edition,1726587577,28055631
1747680,Faraway: Jungle Escape,1673596138,28471043
1747690,Faraway: Arctic Escape,1677517250,28471043
1747750,Flyland Wars: 3 Model Trains,1633338135,12749491
1747790,Catellite-609: feline space adventure,1662397925,25143587
1747800,Legendary Mahjong 2,1728981511,28072696
1747850,Blocks Must Fall!,1744046156,28232675
1747860,Halloween Night,1679839349,0
