name,steam_appid,is_free,header_image,minimum_req,genres,recommendations,release_date
100 hidden cups,1740240,False,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1740240/header.jpg?t=1675979450,"['{""OS "": ""Windows 7 8 10"", ""Processor"": ""23 GHz Dual Core"", ""Memory"": ""1024 MB RAM"", ""Graphics"": ""Intel HD 4000"", ""Storage"": ""25 MB available space"", ""Sound Card"": ""Any"", ""Additional Notes"": ""1080p 169 recommended Mouse""}']","[{'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]",363,"15 Sep, 2021"
Dynarog 2,1740270,True,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1740270/header.jpg?t=1631982592,"['{""OS "": ""Windows 7"", ""Processor"": ""Intel core i5 6700 14GHZ"", ""Memory"": ""2 GB RAM"", ""Graphics"": ""Nvidia GEFORCE 950"", ""Storage"": ""248 MB available space""}']","[{'id': '1', 'description': 'Action'}, {'id': '37', 'description': 'Free To Play'}, {'id': '23', 'description': 'Indie'}]",,"12 Sep, 2021"
Smushi Come Home,1740300,False,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1740300/header.jpg?t=1741450030,"['{""OS "": ""Windows 7 or later"", ""Processor"": ""35 GHz processor"", ""Memory"": ""4 GB RAM"", ""Graphics"": ""GeForce GTX 460 1024 MB or equivalent  Radeon HD 7770 1024 MB"", ""Storage"": ""800 MB available space""}']","[{'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}]",1571,"10 Jun, 2023"
Gutting Goblins!,1740320,True,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1740320/header.jpg?t=1656705619,"['{""OS "": ""Windows 7"", ""Processor"": ""Intel i5"", ""Memory"": ""2 GB RAM"", ""Graphics"": ""NA"", ""Storage"": ""1 GB available space""}']","[{'id': '1', 'description': 'Action'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}]",,"30 Sep, 2021"
The Lands of Eldyn,1740540,True,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1740540/header.jpg?t=1635787647,"['{""OS "": ""Windows XP  Vista  7  8"", ""Processor"": ""2 Ghz"", ""Memory"": ""512 MB RAM"", ""Graphics"": ""1280x720 minimum resolution OpenGL 20 Support and recommended dedicated graphics card with 128 MB of RAM"", ""Network"": ""Broadband Internet connection"", ""Storage"": ""256 MB available space""}']","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '37', 'description': 'Free To Play'}, {'id': '29', 'description': 'Massively Multiplayer'}, {'id': '3', 'description': 'RPG'}]",,"1 Nov, 2021"
Tengin Music Engine,1740630,True,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1740630/header.jpg?t=1702956019,"['{""OS "": ""Windows 7"", ""Processor"": ""AMD Ryzen 7 3700X or Intel Core i79700K"", ""Memory"": ""8 GB RAM"", ""Graphics"": ""AMD Radeon RX 5700 or NVIDIA GeForce GTX 1070"", ""Storage"": ""15 GB available space""}']","[{'id': '1', 'description': 'Action'}, {'id': '4', 'description': 'Casual'}, {'id': '23', 'description': 'Indie'}, {'id': '37', 'description': 'Free To Play'}, {'id': '70', 'description': 'Early Access'}]",,"7 Sep, 2022"
Miraculous: Rise of the Sphinx,1740660,False,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1740660/header.jpg?t=1666713990,"['{""OS "": ""Windows 7 64 Bit"", ""Processor"": ""4 Cores 25 GHz"", ""Memory"": ""8 GB RAM"", ""Graphics"": ""NVidia GTX 960 M"", ""DirectX"": ""Version 12"", ""Storage"": ""4 GB available space""}']","[{'id': '25', 'description': 'Adventure'}]",113,"25 Oct, 2022"
Voodoo Detective,1740680,False,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1740680/header.jpg?t=1725745157,"['{""Requires"": ""Requires a 64-bit processor and operating system"", ""OS "": ""Windows 7 SP1 and Windows 10"", ""Processor"": ""x86 x64 architecture with SSE2 instruction set support"", ""Memory"": ""2 GB RAM"", ""Graphics"": ""DX10 DX11 DX12 capable"", ""Storage"": ""3 GB available space"", ""Additional Notes"": ""The game was built to run on anything as or more powerful than an iPhone SE 2016""}']","[{'id': '25', 'description': 'Adventure'}]",312,"24 May, 2022"
Three Pigeons in a Trench Coat,1740710,True,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1740710/header.jpg?t=1639680333,"['{""Requires"": ""Requires a 64-bit processor and operating system"", ""OS "": ""Windows XP"", ""Processor"": ""16ghz"", ""Memory"": ""1 MB RAM"", ""Graphics"": ""Any"", ""DirectX"": ""Version 11"", ""Storage"": ""140 MB available space"", ""Sound Card"": ""any""}']","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '23', 'description': 'Indie'}]",,"16 Dec, 2021"
Have a Nice Death,1740720,False,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1740720/header.jpg?t=1717104630,"['{""Requires"": ""Requires a 64-bit processor and operating system"", ""OS"": ""Windows 10 64Bit"", ""Processor"": ""Intel Core i3 6100"", ""Memory"": ""4 GB RAM"", ""Graphics"": ""NVIDIA GeForce GTX 650 or higher    AMD R7 360 or higher  Some crashes may occur with Integrated graphics GPU built into the processor"", ""Storage"": ""2 GB available space"", ""Additional Notes"": ""Specifications are not final and are subject to change Intel HD may crash""}']","[{'id': '1', 'description': 'Action'}, {'id': '23', 'description': 'Indie'}]",9019,"22 Mar, 2023"
Flesh Water,1740730,True,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1740730/header.jpg?t=1669775017,"['{""Additional Notes"": ""Should work on everything""}']","[{'id': '1', 'description': 'Action'}, {'id': '25', 'description': 'Adventure'}, {'id': '4', 'description': 'Casual'}, {'id': '37', 'description': 'Free To Play'}, {'id': '23', 'description': 'Indie'}, {'id': '3', 'description': 'RPG'}]",,"3 Nov, 2021"
